year;region;energy_co2e_t;energy_co2e_t_percapita;industry_co2e_t;industry_co2e_t_percapita;traffic_co2e_t;traffic_co2e_t_percapita;buildings_co2e_t;buildings_co2e_t_percapita;agriculture_co2e_t;agriculture_co2e_t_percapita;waste_co2e_t;waste_co2e_t_percapita;fluorinated_gases_co2e_t;fluorinated_gases_co2e_t_percapita;total_co2e_t;total_co2e_t_percapita;population
2011;Salzburg;291065.45957046;0.55063566;694144.75970651;1.31317834;1349287.69935845;2.55257331;554778.46505616;1.04952613;566260.10626202;1.07124703;114459.63763718;0.21653397;93778.77184675;0.17741004;3663774.89943752;6.93110448;528599
2012;Salzburg;242630.41817200;0.45733849;712800.84074716;1.34357128;1347677.28311687;2.54026144;582150.32078663;1.09730574;559232.80461739;1.05410809;116454.75079302;0.21950768;96714.28434806;0.18229852;3657660.70258113;6.89439124;530527
2013;Salzburg;221817.67341397;0.41624478;673638.95295951;1.26409537;1418006.03207047;2.66091332;606584.55127688;1.13826661;562216.59054169;1.05500935;112314.07197707;0.21075934;96313.11798004;0.18073326;3690890.99021964;6.92602203;532902
2014;Salzburg;187947.59264831;0.35042621;644535.04804074;1.20172847;1387332.09196078;2.58666535;515349.85558540;0.96086411;573317.47855005;1.06894410;102548.96898633;0.19120142;98515.81095958;0.18368164;3509546.84673120;6.54351129;536340
2015;Salzburg;252562.31082114;0.46646494;611630.10467927;1.12963807;1411141.76505377;2.60628024;502685.47609565;0.92842495;575483.47631678;1.06287777;98753.12336860;0.18239012;104115.37705627;0.19229383;3556371.63339147;6.56836991;541439
2016;Salzburg;253409.63732392;0.46273117;646745.06114069;1.18096969;1481725.78614529;2.70566155;509566.46055935;0.93047877;593198.56463693;1.08319270;98298.37874721;0.17949485;112152.38989945;0.20479255;3695096.27845285;6.74732128;547639
2017;Salzburg;262484.66935167;0.47639946;646980.73120054;1.17424485;1520787.74794163;2.76017058;524312.04672570;0.95160596;597741.21398394;1.08487704;97351.09963369;0.17668846;120308.65059549;0.21835552;3769966.15943265;6.84234188;550976
2018;Salzburg;220549.74535978;0.39815454;712714.67360536;1.28665115;1516976.35028504;2.73857049;464820.99646030;0.83913310;594622.67905775;1.07346177;94754.28000744;0.17105822;118065.19500633;0.21314100;3722503.91978199;6.72017027;553930
2019;Salzburg;224761.21664971;0.40379144;667353.10489304;1.19892335;1524953.86459282;2.73963330;481885.28702729;0.86572388;589560.01644906;1.05916532;93223.29328856;0.16747893;114067.91264270;0.20492702;3695804.69554317;6.63964324;556627
1990;Steiermark;2671797.26351203;2.28235649;4634736.67972463;3.95917815;2082383.50764368;1.77885560;2080030.30930800;1.77684540;1647288.30504649;1.40717981;887856.84051677;0.75844296;43982.03572451;0.03757122;14048074.94147610;12.00042963;1170631
1991;Steiermark;3154604.32827011;2.68585770;4603947.20223338;3.91984089;2309789.60769351;1.96657506;2254938.74777546;1.91987456;1625182.83578326;1.38369487;907090.26053763;0.77230458;64151.96011776;0.05461954;14919704.94241110;12.70276720;1174524
1992;Steiermark;1727020.79488156;1.46223243;4153976.58221022;3.51708521;2308538.27022868;1.95459113;2083782.59042631;1.76429520;1564623.14113299;1.32473373;913624.59695626;0.77354686;78987.73766322;0.06687727;12830553.71349920;10.86336184;1181085
1993;Steiermark;1758977.21833537;1.48376043;4127452.88904594;3.48165469;2330790.28540482;1.96610528;2027244.98898268;1.71005393;1537580.50988323;1.29700436;905169.49317983;0.76354296;128820.03827322;0.10866433;12816035.42310510;10.81078598;1185486
1994;Steiermark;1916350.77323577;1.61564390;4983585.92942985;4.20157954;2338790.52978268;1.97179593;1850418.32671432;1.56005734;1514988.53092515;1.27726198;895263.78222239;0.75478221;147908.27451798;0.12469904;13647306.14682810;11.50581993;1186122
1995;Steiermark;2922200.78701428;2.46426620;4945009.09121753;4.17008264;2379798.41162506;2.00686305;2020944.44007833;1.70424466;1530734.68651763;1.29085509;854149.58798829;0.72029683;188216.01231284;0.15872091;14841053.01675390;12.51532936;1185830
1996;Steiermark;2715040.01153541;2.29104540;4787042.97589840;4.03947373;2625733.12472503;2.21568514;2183617.97773148;1.84261297;1512577.67175195;1.27636577;879604.18994716;0.74224068;214244.67081646;0.18078712;14917860.62240590;12.58821080;1185066
1997;Steiermark;3072496.47989261;2.59433466;5492881.40220692;4.63804359;2473802.70970105;2.08881349;1807526.41350670;1.52622743;1500207.18753786;1.26673522;790499.46399759;0.66747681;236780.91344306;0.19993153;15374194.57028580;12.98156274;1184310
1998;Steiermark;2494176.23084356;2.10709810;4969624.37159802;4.19837457;2782670.45697981;2.35082010;1848692.13021880;1.56178847;1489385.14816651;1.25824333;753472.97155848;0.63653941;181484.89041648;0.15331975;14519506.19978170;12.26618372;1183702
1999;Steiermark;3230496.00387720;2.73042888;4558232.45678235;3.85263734;2688254.40988952;2.27212399;1915927.47391196;1.61935000;1470871.18178373;1.24318654;703075.73953939;0.59424259;175715.43669949;0.14851543;14742572.70248370;12.46048476;1183146
2000;Steiermark;2729509.49079253;2.30789415;5027965.62147066;4.25131787;2831049.64270311;2.39374985;1789648.30728900;1.51320920;1438515.44012180;1.21631428;669424.59301332;0.56602152;155874.86175471;0.13179756;14641987.95714510;12.38030442;1182684
2001;Steiermark;3280113.60568499;2.76738614;4801124.06947136;4.05064147;3038667.30681784;2.56368126;1918047.75755812;1.61823016;1434236.50513002;1.21004535;632603.58343748;0.53371883;193123.32633110;0.16293546;15297916.15443090;12.90663867;1185275
2002;Steiermark;2947047.16667579;2.47950855;5178823.88721930;4.35722179;3366572.84149178;2.83247796;1853644.82034464;1.55957062;1399676.94292129;1.17762315;638733.01904484;0.53740028;194843.52454496;0.16393229;15579342.20224260;13.10773465;1188561
2003;Steiermark;3301138.01937256;2.77327553;5204783.61537027;4.37252213;3636924.48781434;3.05536867;1942250.59296312;1.63167853;1380156.48816643;1.15946507;658802.12467769;0.55345757;191222.61942684;0.16064551;16315277.94779130;13.70641300;1190339
2004;Steiermark;3015185.82323181;2.52450319;5636180.63218134;4.71896487;3704898.64214036;3.10197413;1885599.05653635;1.57874211;1372397.54393252;1.14905753;701343.31663693;0.58720873;204687.35593244;0.17137713;16520292.37059170;13.83182769;1194368
2005;Steiermark;2737799.29374210;2.28427290;5530148.96679582;4.61405971;3772588.79943021;3.14764577;1873285.74137724;1.56296916;1373484.56290111;1.14596186;644116.61760662;0.53741636;225967.37525633;0.18853506;16157391.35710940;13.48086081;1198543
2006;Steiermark;2402952.79830992;1.99996904;5553006.65561989;4.62174762;3550997.83804872;2.95548283;1904450.19978648;1.58506710;1362964.65893259;1.13439062;600046.30694202;0.49941640;182857.54957351;0.15219169;15557276.00721310;12.94826529;1201495
2007;Steiermark;1891823.61690080;1.57241568;5666519.50221314;4.70980699;3573749.34165074;2.97037178;1584768.07327979;1.31720216;1383547.06221576;1.14995450;553832.82814149;0.46032591;190939.57591250;0.15870210;14845180.00031420;12.33877912;1203132
2008;Steiermark;1836658.46374081;1.52513196;5869114.70573896;4.87361945;3345735.56129587;2.77824557;1663813.54947885;1.38160429;1426791.51443104;1.18478497;524504.84166380;0.43554047;197482.75796367;0.16398654;14864101.39431300;12.34291325;1204262
2009;Steiermark;1532743.02123341;1.27237660;4703490.72284296;3.90451070;3244502.07676300;2.69335985;1414028.25281939;1.17382786;1397822.84146740;1.16037525;533674.55141268;0.44301948;205192.17561339;0.17033627;13031453.64215220;10.81780600;1204630
2010;Steiermark;1660826.02086010;1.37769119;5176191.38429951;4.29376298;3358839.27421962;2.78623000;1368090.35331204;1.13486061;1365826.72426242;1.13298288;509965.55584484;0.42302749;216365.69312408;0.17948003;13656105.00592260;11.32803518;1205514
2011;Steiermark;1836717.34421920;1.52146645;5568824.62733399;4.61300149;3241119.22791073;2.68481930;1213837.69583434;1.00549676;1400061.98233666;1.15975784;473068.52150272;0.39187188;219976.51672233;0.18222014;13953605.91586000;11.55863386;1207202
2012;Steiermark;1871655.01538836;1.54750528;5164947.17959637;4.27043603;3220147.58951605;2.66245400;1085820.98180319;0.89776892;1376263.33154256;1.13790990;458876.19002813;0.37940396;225727.41540440;0.18663395;13403437.70327910;11.08211203;1209466
2013;Steiermark;1531107.37736805;1.26276689;5389384.26242192;4.44484567;3390865.82284593;2.79658576;1132132.75428412;0.93371620;1386371.69941959;1.14339745;442643.29960586;0.36506604;225076.32973425;0.18562966;13497581.54567970;11.13200765;1212502
2014;Steiermark;1257072.57510608;1.03219709;5144615.77036303;4.22430456;3308768.87077507;2.71686906;999718.42907228;0.82088057;1421857.97352149;1.16750432;409706.41994332;0.33641476;230186.63980199;0.18900896;12771926.67858330;10.48717931;1217861
2015;Steiermark;1536983.72863306;1.25448909;5438609.65710518;4.43900373;3368943.70694423;2.74973837;1007998.97698438;0.82273072;1407914.20943277;1.14914230;385373.87211145;0.31454290;244241.29030007;0.19935021;13390065.44151110;10.92899732;1225187
2016;Steiermark;1396351.04272389;1.13011604;5304361.21755188;4.29300623;3483810.67782551;2.81957060;1012712.77408969;0.81962409;1441813.85370508;1.16691070;373239.85637132;0.30207615;264367.27046164;0.21396174;13276656.69272900;10.74526555;1235582
2017;Steiermark;1791214.16054223;1.44678290;5651012.72891582;4.56438361;3599045.90075853;2.90698799;1011444.27345063;0.81695439;1418210.85100202;1.14550412;355109.01855106;0.28682536;280223.91492843;0.22633986;14106260.84814870;11.39377824;1238067
2018;Steiermark;1485445.79043055;1.19675498;5569831.66469822;4.48735580;3656307.72185095;2.94571805;986856.94046851;0.79506500;1402109.39856493;1.12961470;293593.64685002;0.23653482;279288.17327486;0.22500957;13673433.33613800;11.01605292;1241228
2019;Steiermark;1450227.56525824;1.16533376;5428461.12828524;4.36205267;3675152.38540656;2.95317731;985338.09704167;0.79177074;1398743.83203558;1.12396389;298759.60050155;0.24006898;268169.59644524;0.21548831;13504852.20497410;10.85185565;1244474
1990;Tirol;22424.28372816;0.03609368;1109621.98758305;1.78602560;1055074.46662434;1.69822699;911753.29681588;1.46754007;712830.84810938;1.14735843;356684.68066117;0.57411261;10679.52129862;0.01718955;4179069.08482061;6.72654694;621280
1991;Tirol;15752.11836752;0.02507165;1093110.68951415;1.73983531;1169352.42155709;1.86118447;947337.38759787;1.50781715;697568.86149219;1.11027634;364480.93027730;0.58012130;14851.00523777;0.02363741;4302453.41404390;6.84794363;628284
1992;Tirol;14907.64293688;0.02343195;1014464.30326136;1.59454316;1169477.60764709;1.83819432;937383.07278183;1.47338626;670813.09358862;1.05438942;365758.46155815;0.57490209;15266.48905686;0.02399599;4188070.67083080;6.58284320;636210
1993;Tirol;58778.09550715;0.09142749;1107577.00595298;1.72280147;1185218.00953321;1.84356963;980222.61814232;1.52470569;667575.91994306;1.03839351;360811.28276314;0.56123069;34186.93084877;0.05317670;4394369.86269063;6.83530519;642893
1994;Tirol;59696.21890763;0.09214456;1083376.74618856;1.67225447;1192545.43998277;1.84076264;904117.68875986;1.39555778;665883.78058814;1.02783001;337813.83408358;0.52143513;38583.63000382;0.05955606;4282017.33851436;6.60954063;647854
1995;Tirol;67237.89610302;0.10318274;1003448.50568678;1.53988405;1214883.19334791;1.86435004;1093878.52875010;1.67865725;675527.05048085;1.03665841;315451.18184411;0.48408886;49919.80986505;0.07660654;4420346.16607782;6.78342789;651639
