year,region,classification,pollutant,unit,source,data_status,energy_industry_co2e_t,energy_co2e_t,industry_co2e_t,traffic_co2e_t,buildings_co2e_t,agriculture_co2e_t,waste_co2e_t,fluorinated_gases_co2e_t,total_co2e_t,population,energy_co2e_t_percapita,industry_co2e_t_percapita,energy_industry_co2e_t_percapita,traffic_co2e_t_percapita,buildings_co2e_t_percapita,agriculture_co2e_t_percapita,waste_co2e_t_percapita,fluorinated_gases_co2e_t_percapita,total_co2e_t_percapita,international_flight_co2e_t
2002,Salzburg,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,937292.7901,217389.0077,719903.7824,1365433.282,898598.9635,610796.2054,120638.6226,78550.4393,4011310.303,517050,0.420440978048545,1.39232914108887,1.81277011913741,2.64081478000193,1.73793436514844,1.18130974838023,0.233320999129678,0.151920393192148,7.75807040518325,
2002,Salzburg,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,517050,,,,,,,,,,
2002,Steiermark,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1188117,,,,,,,,,,
2002,Steiermark,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,8124198.138,2952231.52,5171966.618,3363175.644,1858857.622,1428593.271,701737.5353,205052.653,15681614.86,1188117,2.48479865198461,4.35307854192811,6.83787719391272,2.83067715048265,1.56454088444152,1.20240117008678,0.590629992921572,0.172586246135692,13.1987126352034,
2002,Steiermark,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1188117,,,,,,,,,,
2002,Tirol,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,675701,,,,,,,,,,
2002,Tirol,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1022160.253,62171.14622,959989.107,1740161.869,1122318.205,680145.8522,277778.3561,102916.1483,4945480.683,675701,0.0920098478765016,1.42073062937601,1.51274047692692,2.57534304226278,1.66096869029349,1.00657813470751,0.411096559128964,0.152310190898045,7.31903709332974,
2002,Tirol,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,675701,,,,,,,,,,
2002,Vorarlberg,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,352574,,,,,,,,,,
2002,Vorarlberg,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,243820.431,2883.695309,240936.7357,888176.929,684203.7899,228594.7645,127362.7842,53754.10169,2225912.8,352574,0.00817897890655579,0.68336501188403,0.691543990765059,2.51912202544714,1.94059627170466,0.648359676266543,0.361237028822318,0.15246189931759,6.31332089150079,
2002,Vorarlberg,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,352574,,,,,,,,,,
2002,Wien,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1571123,,,,,,,,,,
2002,Wien,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,2845530.059,2405477.764,440052.2945,3393623.967,2089645.988,26499.53236,494162.6826,240598.9115,9090061.14,1571123,1.53105629794739,0.280087742652867,1.8111440409185,2.15999890969708,1.33003335066701,0.0168666185651919,0.31452832311665,0.153138176641803,5.78570941931345,
2002,Wien,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1571123,,,,,,,,,,
2003,Austria,Emissionshandel,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8100273,,,,,,,,,,
2003,Austria,Emissionshandel Abgrenzung ab 2013,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8100273,,,,,,,,,,
2003,Austria,Gesamt,THG,t CO2-äq,NowCast (1990-2023),31072024,40596875.6,16400196.83,24196678.78,23727065.36,13564635.7,8445522.679,3581084.12,1732104.855,91647288.31,8100273,2.02464741990795,2.98714361602381,5.01179103469723,2.92916860456432,1.67458994283279,1.04262198064189,0.442094250403659,0.213832898594899,11.314098711241,1466742
2003,Austria,KSG,THG,t CO2-äq,NowCast (1990-2023),31072024,,,,,,,,,,8100273,,,,,,,,,,
2003,Burgenland,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,276542,,,,,,,,,,
2003,Burgenland,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,194312.9601,69028.80284,125284.1573,916411.189,527216.6851,243537.8589,164909.4211,41380.45504,2087768.569,276542,0.249614173760224,0.45303844370837,0.702652617323951,3.31382281534089,1.90646153242545,0.88065414620564,0.596326854871954,0.149635335826023,7.54955330112605,
2003,Burgenland,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,276542,,,,,,,,,,
2003,Kärnten,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,558623,,,,,,,,,,
2003,Kärnten,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1427938.812,580665.0974,847273.7145,1737335.838,958530.357,716817.1168,222209.7589,566559.9934,5629391.876,558623,1.03945791240246,1.51671827780095,2.55617619038242,3.1100327734447,1.71588057956797,1.28318582800923,0.397781256589865,1.01420813929967,10.0772647671149,
2003,Kärnten,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,558623,,,,,,,,,,
2003,Niederösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1549269,,,,,,,,,,
2003,Niederösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,10387990.49,7498120.401,2889870.084,5112720.275,2869328.739,2233117.203,920797.0454,232419.3818,21756373.13,1549269,4.83977953538088,1.86531201747405,6.70509155608226,3.30008557261521,1.85205328383902,1.44140055923148,0.594342909720649,0.150018739031117,14.0429926178088,
2003,Niederösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1549269,,,,,,,,,,
