month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
2004-9;15.41;0;7;0;0
2004-10;12.69;0;0;0;0
2004-11;3.48;0;0;0;0
2004-12;-0.41;0;0;0;3
2005-1;-1.94;0;0;0;8
2005-2;-1.59;0;0;0;7
2005-3;4.26;0;0;0;3
2005-4;10.25;0;0;0;0
2005-5;14.9;4;11;0;0
2005-6;18.18;7;14;0;0
2005-7;18.9;6;13;0;0
2005-8;16.66;0;6;0;0
2005-9;16.21;0;7;0;0
2005-10;11.35;0;0;0;0
2005-11;3.72;0;0;0;5
2005-12;-1.44;0;0;0;8
2006-1;-4.4;0;0;0;13
2006-2;-1.08;0;0;0;7
2006-3;2.99;0;0;0;2
2006-4;10.06;0;0;0;0
2006-5;14.13;0;3;0;0
2006-6;17.97;6;17;0;0
2006-7;22.43;15;27;0;0
2006-8;16.08;1;4;0;0
2006-9;18.11;1;14;0;0
2006-10;13.43;0;1;0;0
2006-11;6.47;0;0;0;0
2006-12;2.42;0;0;0;0
2007-1;3;0;0;0;3
2007-2;5.2;0;0;0;0
2007-3;7.11;0;0;0;0
2007-4;13.8;0;8;0;0
2007-5;15.94;0;11;0;0
2007-6;19.21;1;15;0;0
2007-7;19.78;8;19;0;0
2007-8;18.13;0;13;0;0
2007-9;13.22;0;0;0;0
2007-10;9.75;0;0;0;0
2007-11;3.41;0;0;0;0
2007-12;0.45;0;0;0;3
2008-1;3.44;0;0;0;1
2008-2;4.76;0;0;0;0
2008-3;5.62;0;0;0;0
2008-4;9.64;0;0;0;0
2008-5;16.07;3;7;0;0
2008-6;18.71;5;14;0;0
2008-7;19.13;4;16;0;0
2008-8;19.57;1;20;0;0
2008-9;14.3;1;8;0;0
2008-10;11.17;0;0;0;0
2008-11;5.36;0;0;0;0
2008-12;1.22;0;0;0;2
2009-1;-1.35;0;0;0;7
2009-2;1.06;0;0;0;4
2009-3;4.88;0;0;0;0
2009-4;12.69;0;0;0;0
2009-5;16.62;1;12;0;0
2009-6;16.49;2;6;0;0
2009-7;19.36;4;15;0;0
2009-8;20.39;3;23;0;0
2009-9;16.9;0;2;0;0
2009-10;9.99;0;1;0;0
2009-11;6.95;0;0;0;0
2009-12;0.72;0;0;0;7
2010-1;-2.19;0;0;0;13
