region;energietraeger_gruppe;energietraeger_untergruppe;year;nutzenergiekategorie;gesamt;industrie_eisenStahlerzeugung;industrie_chemiePetrochemie;industrie_nichtEisenMetalle;industrie_steineErdenGlas;industrie_fahrzeugbau;industrie_maschinenbau;industrie_bergbau;industrie_nahrungsGenußmittelTabak;industrie_papierDruck;industrie_holzverarbeitung;industrie_bau;industrie_textilLeder;industrie_sonstProduzierenderBereich;verkehr_eisenbahn;verkehr_sonstigerLandverkehr;verkehr_transportinRohrfernleitungen;verkehr_binnenschiffahrt;verkehr_flugverkehr;oeffentUndPrivDienstleistungen;privateHaushalte;landwirtschaft
austria;coal;koks;2018;verkehr;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;koks;2018;beleuchtungUndEdv;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;coal;koks;2018;elektrochemie;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;raumklimaUndWarmwasser;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;prozesswaermeKleiner200Grad;24.904236;0.000000;24.904236;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;prozesswaermeGroesser200Grad;175.218022;0.000000;0.000000;0.000000;175.218022;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;standmotoren;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;verkehr;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;beleuchtungUndEdv;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
austria;oil;petrolkoks;2020;elektrochemie;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
